tiempo,diag_group,iafas,tipo_consumo,TOTAL_NETO
2021-02-01,No oncológico (comparador),SIS,MEDICAMENTO,162755.52300000002
2021-02-01,No oncológico (comparador),SIS,PROCEDIMIENTO,273667.16
2021-02-01,Otro,FISSAL,INSUMO,21897.78
2021-02-01,Otro,FISSAL,MEDICAMENTO,21854.48
2021-02-01,Otro,FISSAL,PROCEDIMIENTO,60778.96
2021-02-01,Otro,SIS,INSUMO,1052313.063
2021-02-01,Otro,SIS,MEDICAMENTO,1558826.388
2021-02-01,Otro,SIS,PROCEDIMIENTO,1398551.45
2021-02-01,Próstata,FISSAL,INSUMO,25097.25
2021-02-01,Próstata,FISSAL,MEDICAMENTO,50454.950000000004
2021-02-01,Próstata,FISSAL,PROCEDIMIENTO,67847.78
2021-02-01,Próstata,SIS,INSUMO,4.18
2021-02-01,Próstata,SIS,MEDICAMENTO,191.9
2021-02-01,Próstata,SIS,PROCEDIMIENTO,263.62
2021-03-01,Colon,FISSAL,INSUMO,102350.51
2021-03-01,Colon,FISSAL,MEDICAMENTO,21391.276
2021-03-01,Colon,FISSAL,PROCEDIMIENTO,80240.82
2021-03-01,Colon,SIS,INSUMO,80.74
2021-03-01,Colon,SIS,MEDICAMENTO,114.39
2021-03-01,Colon,SIS,PROCEDIMIENTO,923.73
2021-03-01,Cuello uterino,FISSAL,INSUMO,168101.17
2021-03-01,Cuello uterino,FISSAL,MEDICAMENTO,133327.824
2021-03-01,Cuello uterino,FISSAL,PROCEDIMIENTO,309072.33
2021-03-01,Cuello uterino,SIS,INSUMO,195.27
2021-03-01,Cuello uterino,SIS,MEDICAMENTO,111.6
2021-03-01,Cuello uterino,SIS,PROCEDIMIENTO,1274.29
2021-03-01,Estómago,FISSAL,INSUMO,122643.55
2021-03-01,Estómago,FISSAL,MEDICAMENTO,70309.402
2021-03-01,Estómago,FISSAL,PROCEDIMIENTO,122784.92
2021-03-01,Estómago,SIS,INSUMO,47.41
2021-03-01,Estómago,SIS,MEDICAMENTO,68.84
2021-03-01,Estómago,SIS,PROCEDIMIENTO,2953.02
2021-03-01,Leucemias,FISSAL,INSUMO,441477.66
2021-03-01,Leucemias,FISSAL,MEDICAMENTO,671694.1245
2021-03-01,Leucemias,FISSAL,PROCEDIMIENTO,1419110.81
2021-03-01,Leucemias,SIS,INSUMO,144.20000000000002
2021-03-01,Leucemias,SIS,MEDICAMENTO,146.31
2021-03-01,Leucemias,SIS,PROCEDIMIENTO,4010.39
2021-03-01,Linfomas,FISSAL,INSUMO,106442.59
2021-03-01,Linfomas,FISSAL,MEDICAMENTO,208147.663
2021-03-01,Linfomas,FISSAL,PROCEDIMIENTO,282974.89
2021-03-01,Linfomas,SIS,INSUMO,184.07000000000002
2021-03-01,Linfomas,SIS,MEDICAMENTO,5.87
2021-03-01,Linfomas,SIS,PROCEDIMIENTO,2602.79
2021-03-01,Mama,FISSAL,INSUMO,147473.14
2021-03-01,Mama,FISSAL,MEDICAMENTO,406273.96
2021-03-01,Mama,FISSAL,PROCEDIMIENTO,507641.9
2021-03-01,Mama,SIS,INSUMO,446.74
2021-03-01,Mama,SIS,MEDICAMENTO,87.24
2021-03-01,Mama,SIS,PROCEDIMIENTO,3488.36
2021-03-01,No oncológico (comparador),FISSAL,INSUMO,149.87
2021-03-01,No oncológico (comparador),FISSAL,MEDICAMENTO,817.23
2021-03-01,No oncológico (comparador),FISSAL,PROCEDIMIENTO,2322.04
2021-03-01,No oncológico (comparador),SIS,INSUMO,100995.18000000001
2021-03-01,No oncológico (comparador),SIS,MEDICAMENTO,136370.721
2021-03-01,No oncológico (comparador),SIS,PROCEDIMIENTO,272104.55
2021-03-01,Otro,FISSAL,INSUMO,50499.35
2021-03-01,Otro,FISSAL,MEDICAMENTO,86106.649
2021-03-01,Otro,FISSAL,PROCEDIMIENTO,60583.84
2021-03-01,Otro,SIS,INSUMO,1144022.669
2021-03-01,Otro,SIS,MEDICAMENTO,2409313.079
2021-03-01,Otro,SIS,PROCEDIMIENTO,1725520.14
2021-03-01,Próstata,FISSAL,INSUMO,37658.18
2021-03-01,Próstata,FISSAL,MEDICAMENTO,59595.0865
2021-03-01,Próstata,FISSAL,PROCEDIMIENTO,77994.33
2021-03-01,Próstata,SIS,PROCEDIMIENTO,40.65
2021-04-01,Colon,FISSAL,INSUMO,128983.55
2021-04-01,Colon,FISSAL,MEDICAMENTO,31038.21
2021-04-01,Colon,FISSAL,PROCEDIMIENTO,115807.06999999999
2021-04-01,Colon,SIS,INSUMO,9712.83
2021-04-01,Colon,SIS,MEDICAMENTO,3046.98
2021-04-01,Colon,SIS,PROCEDIMIENTO,11773.55
2021-04-01,Cuello uterino,FISSAL,INSUMO,152728.53
2021-04-01,Cuello uterino,FISSAL,MEDICAMENTO,147740.8596
2021-04-01,Cuello uterino,FISSAL,PROCEDIMIENTO,270746.48
2021-04-01,Cuello uterino,SIS,INSUMO,483.02000000000004
2021-04-01,Cuello uterino,SIS,MEDICAMENTO,366.37
2021-04-01,Cuello uterino,SIS,PROCEDIMIENTO,2376.13
2021-04-01,Estómago,FISSAL,INSUMO,118552.49
2021-04-01,Estómago,FISSAL,MEDICAMENTO,31090.57
2021-04-01,Estómago,FISSAL,PROCEDIMIENTO,106605.15
2021-04-01,Estómago,SIS,INSUMO,1674.36
2021-04-01,Estómago,SIS,MEDICAMENTO,608.03
2021-04-01,Estómago,SIS,PROCEDIMIENTO,2774.0
2021-04-01,Leucemias,FISSAL,INSUMO,427883.38
2021-04-01,Leucemias,FISSAL,MEDICAMENTO,583513.1156
2021-04-01,Leucemias,FISSAL,PROCEDIMIENTO,1283729.78
2021-04-01,Leucemias,SIS,INSUMO,2260.8
2021-04-01,Leucemias,SIS,MEDICAMENTO,7183.683999999999
2021-04-01,Leucemias,SIS,PROCEDIMIENTO,17506.41
2021-04-01,Linfomas,FISSAL,INSUMO,172007.39
2021-04-01,Linfomas,FISSAL,MEDICAMENTO,232853.8754
2021-04-01,Linfomas,FISSAL,PROCEDIMIENTO,333624.34
2021-04-01,Linfomas,SIS,INSUMO,3091.5
2021-04-01,Linfomas,SIS,MEDICAMENTO,968.9526000000001
2021-04-01,Linfomas,SIS,PROCEDIMIENTO,6625.49
2021-04-01,Mama,FISSAL,INSUMO,139547.94999999998
2021-04-01,Mama,FISSAL,MEDICAMENTO,440336.062
2021-04-01,Mama,FISSAL,PROCEDIMIENTO,471323.99
2021-04-01,Mama,SIS,INSUMO,577.41
